,아이디,댓글
38,prin_milky,"소문냅니다~~~~~~📢 세계유산도시기구 메타버스가 오픈하였대요💜💜💜 많은 관심 부탁드릴게요!!!~ 세계유산도시와 세계유산들을 한 눈에 볼 있게 잘 꾸며두었대요👍🏻
@coeyeongsig938
@saranimida 
@coco.dosi 
@foxstar77 
@7good56 
@hyejin_jo_2
@boomboomboom1110
@kms4112323
@romanfly1972
@gkdl12399
한 번 체험해볼까요? 팔로우와 좋아요도 완료✔️"
39,gkswjd35,"•◦❥◦• •◦❥◦• •◦❥◦•
⁣⁣
ᰔ 세계유산도시기구 메타버스 응원합니다❤️ ᰔ⁣
⁣⁣ 많은 관심과 사랑받아 꽃길만 걸으세요 🌸🌸🌸
⁣⁣
⁣⁣팔로우 완료 ♥︎ 좋아요 완료 ♥︎
⁣
•◦❥◦• •◦❥◦• •◦❥◦•
⁣⁣
⁣⁣⁣멋찐 이벤트 감사합니다 ♥︎
⁣⁣
@hana9.2.8 @s_sup_mam @yw_sw_mom⁣ @kwakinhee
⁣⁣@151803_gold @bluesky4491 @yh_blue ⁣⁣"
40,nstdream,"메타버스로 세계유산을 구경하자 💛 @moeonggeul @171.4_ @ss_ssk00
다양하고 재밋는 이야기들로 많은 분들이 찾는곳이 되길 바랄게요~!"
41,rookie127127,#세계유산도시기구_메타버스 OPEN 축하해요 🎉 멋진공간 응원 가득 드려요 @goodbyee.summerr
42,jeongjinbaeg2,세계유산도시기구 메타버스 오픈 축하드려요🎉많은분들의 관심과 사랑받으시길 바랍니다❤️함께 축하해요❤️ @cshoon3136 @peachlike1004 @sweetpotato_yelo @ssingmami729 @2bassda @ttjdqmffl_78 @saebomu83 @dressy4918 @ivyvyworld @yeonmi0426
43,jeongring_,세계유산도시기구 메타버스 진심으로 응원합니다. @kczoo_ 🔥🔥🔥🔥🔥
44,oooooop78,"세계유산도시기구 메타버스 오픈을 진심으로 축하드립니다 ~!!
앞으로 더욱더 언제나 많은분들에게 큰행복을 전해주는 행복 바이러스같은 존재로써 최선을 다해주시길 바라며 ~!! 한분한분의 목소리에 귀기울이며 서로 좀더 가깝게 소통하며 진심이 전달 될수있는 대화의 장으로써 많은 분들에게 큰힘되는 존재가 되어주시길 간절히 기원해봅니다^^//
#세계유산도시기구 #메타버스 화이팅 아자아자 !!!
@nakhoon_lee @scanty0416 @eomminam5 @red79_79 @dhgifts @jiann_y3635 @juninoutstock @onsemero03 @46.3m @4.9.e.e 함께 응원해요 ~!!"
45,jjiny818,💜팔로우완료 좋아요완료💜 메타버스 공간에서 세계유산도시를 돌아다녀보니 너무 신기하고 재밌어요~퀴즈존도 있고 다리도 건너가보고~경주시 OWHC-AP에서 세계유산도시와 세계유산들을 한눈에 볼 수있는 메타버스 공간의 OPEN을 축하드리며 지금도 앞으로도 계속 많은 사랑받길 응원하겠습니다😊 #OWHC 함께 팔로우하고 세계유산도시기구 메타버스 함께 응원해요😊 @1018inho @hyeyo83 @82dengo @saebomu83 @oooooop78 @pk.jin @peach0242 @priapus1130 @imseonghun708 @imeunhwa7821
46,sysy_1215,세계유산도시기구 메타버스 응원합니다 ❤️ @idealbody_kim @yangsan7979 @coffee_uuu12
47,whale_hj,"전 세계 유산들을 한 번에 볼 수 있는 환경이 조성되었다는 것은 참 의미있는 일인 것 같습니다! 여러 국가들의 역사적 배경을 알 수 있는 학습적인 공간이 될 수도 있겠네요. 색다른 체험이 가능한 ‘메타버스’라는 신문물과 결합했으니, 국가, 민족, 남녀노소를 불문하는 화합의 장이 되었으면 좋겠습니다! @yspark23"
