아이디,댓글,시간
arrrrrj13,"참여합니다

https://www.instagram.com/p/Cln_kmFJSka/?igshid=YmMyMTA2M2Y=",2022-12-09 09:03:53+00:00
raiblu27,참여완료,2022-12-04 04:57:53+00:00
ghq_86,참여완료,2022-12-14 00:37:01+00:00
memame_89,참여완료,2022-12-09 01:47:21+00:00
boyeon155,참여완료❤️❤️https://www.instagram.com/p/Cl7eST4vnVG/?igshid=YmMyMTA2M2Y=,2022-12-03 14:15:46+00:00
uulsy6,참여완료,2022-12-11 10:22:58+00:00
kjyyohaeng,참여완료 https://www.instagram.com/p/CmBi5onPC6k/?utm_source=ig_web_copy_link,2022-12-07 04:25:25+00:00
janippst,참여 완료,2022-12-05 02:48:06+00:00
rangfog,참여완료,2022-12-12 02:24:21+00:00
kaniest1989,참여완료,2022-12-05 08:50:13+00:00
real_aemon_,참여완료합니다 https://www.instagram.com/p/Clx7fulLwrL/,2022-12-04 03:06:36+00:00
ssonga1015,❤️❤️❤️❤️참여완료 https://www.instagram.com/p/CluvYSGJCov/?igshid=YmMyMTA2M2Y=❤️❤️❤️,2022-12-12 07:42:08+00:00
gimhyeonju451,"참여완료 🙂
세계유산을 메타버스로 만날 수 있어 유익하고 흥미로웠어요! 평소 몰랐던 세계유산에 대해서도 관심을 가지는 기회가 되었습니다 💗
방명록 작성 완료!
https://www.instagram.com/p/CmD1RPBJB9y/",2022-12-06 06:31:27+00:00
88ee._.merry,참여완료 https://www.instagram.com/p/Cl0QG4nL3RF/?igshid=MTg0ZDhmNDA=,2022-12-08 03:51:35+00:00
ksekselove,참여완료,2022-12-13 07:37:55+00:00
coffee_uuu12,"참여완료
https://www.instagram.com/p/CmGZnmhpEUi/
세계유산도시기구 메타버스에서 세계유산을 생생하게 만나볼 수 있어 흥미로웠고, 세계유산에 대한 지식을 쌓을 수 있어 유익했습니다 💘",2022-12-13 10:31:04+00:00
zer0_o_study,참여완료❤️,2022-12-08 16:36:59+00:00
imhaein70,참여완료🔥 https://www.instagram.com/p/Cl6fQbBPNty/?igshid=YmMyMTA2M2Y=,2022-12-06 22:45:33+00:00
godminju88,참여완료. https://www.instagram.com/p/Cl1_1pIPYpg/?igshid=YmMyMTA2M2Y=,2022-12-05 18:11:35+00:00
hansejong33,참여완료❤️,2022-12-07 09:28:22+00:00
an_gyeongjun,참여완료,2022-12-06 13:03:12+00:00
bbolguri,https://www.instagram.com/p/Cl05a8LPpEF/?utm_source=ig_web_copy_link 참여완료 ^^,2022-12-05 12:26:54+00:00
skylake_travel,참여완료 https://www.instagram.com/p/ClyUB2VJFjk/?igshid=YmMyMTA2M2Y=,2022-12-01 07:54:18+00:00
olivia_kim02,참여완료 🔥 @pioniaflower @shm3259.in @sytwinkle14 @h.he0k @lovely_suyeon21 @artemis22love,2022-12-01 07:53:04+00:00
qweqwe_0923,"참여완료 https://www.instagram.com/p/Clnhw0xpirk/?igshid=YmMyMTA2M2Y= @__sena.kim
@jsh0324
@ssongi_23
@hayun0413",2022-12-01 11:01:42+00:00
flyj053,"참여완료 https://www.instagram.com/p/Cln3Vd5JtWB/?igshid=YmMyMTA2M2Y= @__sena.kim
@ssongi_23
@hayun0413",2022-12-07 04:49:08+00:00
yunjongin94,"참여완료! 재밌는 경주시 OWHC-AP에서 개발한 메타버스에서 인증사진 찍고 놀아요〰️😉
세계유산도시기구 아태지역사무소 응원해요~ @happyjoalove",2022-12-06 06:55:50+00:00
yjrpark4452,#참여완료😉 #업로드완료😉 https://www.instagram.com/p/Cl0TJsJr2PI/?utm_source=ig_web_copy_link 메타버스 우체통에서 방명록은 비활성화 되어있네요!! 그래도 너무 아름다운 세계문화유산들 잘 보았습니다🔥🔥 #팔로우완료 @jookm991 @cjuum12 @mm_soyen @yunjongin85 🥰😘😆😊😇😚😙🤗🤗,2022-12-01 09:43:09+00:00
ddangkong154,참여완료 @iamtonywife @hellohulryung https://www.instagram.com/p/ClnuYO6PJ-_/,2022-12-06 02:51:07+00:00
eunok.1216,https://www.instagram.com/p/Clz3CvyJTRP/?igshid=YmMyMTA2M2Y= 😍😍 참여완료❤️ #세계유산도시기구 #세계유산도시기구아태지역사무처 #세계유산도시기구메타버스 방명록 작성 완료!! 좋은 이벤트 감사합니다❤️❤️ @moun_s9 @peachlike1004 @dressy4918 @cshoon3136 @hanyumi777 @taeng.e.taeng.e,2022-12-12 23:43:55+00:00
yoom_yoom_yoom,"✅ 인친님들도 함께 참여해요~♡
💛 @kimarazzang_
💛 @dressy4918
💛 @dall2940
💛 @ddangkong154
💛 @pooh_100503
💛 @yunhui_4551
💛 @skdoak77       💓💓💓",2022-12-11 15:25:56+00:00
asoen0310,https://www.instagram.com/p/CmCFaPxpAh6/?igshid=YmMyMTA2M2Y= 참여완료😍😍@vaho_0707 @eunjeong9208 @mi.yuui @suelee0704 @imeunhwa7821 @dprettyjb,2022-12-07 05:34:54+00:00
ummmsd.zpt,"참여완료
https://www.instagram.com/p/Cl2uu6vB7l6/
@kmr10907 @dnjsrb3496 @25chaeseo",2022-12-03 00:28:37+00:00
vivanice2140,참여완료입니다! https://www.instagram.com/p/Clr4hfHvfwe/?utm_source=ig_web_copy_link @ailyv2022,2022-12-13 18:45:48+00:00
eunok.1216,"참여완료 / 방명록도 남겼답니다 https://www.instagram.com/p/CmHl51TSI0Q/?hl=ko
@rainyday_lee @2soone_mom @soso2day2 어서 참여해!",2022-12-12 23:43:59+00:00
jelly__1216,"✅ 인친님들도 함께 참여해요~♡
🌸 @jungmis_s 
🌸 @priapus1130 
🌸 @pwb_casa
🌸 @nymphe_83 
🌸 @leejiyoung1007 
🌸 @kimgyojin777
🌸 @gimjiseon617       💓💓💓",2022-12-13 12:47:43+00:00
eunok.1216,"💗💓💗  #세계유산도시기구 ✔ 참여완료 ☑ 사진 업로드완료 → https://www.instagram.com/p/CmG8xu2Jnnb/?igshid=YmMyMTA2M2Y= ♡ 함께 참여해요~  💗💓💗  
☑팔로우완료 ☑친구소환완료 ☑좋아요완료 
언제나 유익한 정보, 볼거리 많은 게시물 감사드립니다~♡
행복한일만 가득하시고 대박나세요~~~💙
@skdoak77 @hyeyo83 @gimbognam46 @jaeeun3377 @priapus1130 @ddangkong154 @taeng.e.taeng.e @taejin.jeon.18  @gimjiseon617",2022-12-12 23:43:46+00:00
